uid,time,page
93,548,page8
93,572,page27
93,598,page90
93,612,page84
93,639,page97
93,651,page21
93,664,page19
93,665,page50
93,680,page13
98,130,page66
98,157,page46
50,197,page1
50,211,page52
14,10,page1
75,144,page1
75,173,page56
75,202,page26
0,893,page1
82,106,page1
77,712,page1
83,382,page1
83,432,page43
83,432,page18
38,768,page1
45,359,page1
92,330,page33
89,235,page1
1,228,page68
36,225,page1
84,453,page1
84,469,page42
84,474,page58
84,477,page23
62,96,page1
92,425,page1
92,442,page92
39,479,page1
73,177,page1
97,257,page1
97,277,page23
97,290,page72
5,39,page1
19,350,page1
82,178,page1
82,201,page47
5,190,page1
49,146,page1
56,43,page1
56,61,page22
29,418,page1
95,198,page1
63,253,page1
63,257,page66
76,108,page1
19,545,page1
52,140,page1
61,200,page1
47,320,page1
47,321,page51
47,348,page79
56,133,page1
56,144,page91
36,351,page1
36,361,page96
36,372,page75
36,384,page75
36,400,page40
36,414,page76
36,440,page42
36,440,page17
4,94,page1
4,101,page17
11,442,page1
11,450,page9
63,406,page1
63,411,page76
22,260,page1
73,292,page1
73,311,page24
51,701,page1
43,250,page1
96,271,page1
47,472,page1
47,493,page75
47,515,page1
47,517,page35
47,521,page63
47,538,page45
47,544,page71
47,572,page10
9,613,page1
36,468,page1
36,475,page38
94,493,page83
94,496,page29
26,312,page1
28,526,page1
28,536,page63
21,129,page1
21,138,page100
52,163,page1
60,122,page1
60,127,page66
60,133,page84
60,162,page32
60,188,page68
11,531,page1
11,558,page21
92,456,page1
92,477,page100
43,407,page24
43,429,page66
57,407,page1
39,529,page53
45,480,page1
45,497,page85
45,498,page38
7,700,page1
7,716,page99
39,585,page74
39,591,page25
39,615,page61
39,638,page60
74,154,page1
3,290,page1
3,313,page22
64,205,page1
37,221,page55
37,226,page79
37,228,page31
37,257,page1
37,257,page62
37,284,page30
37,305,page60
17,479,page1
17,488,page16
17,669,page1
17,671,page48
40,526,page1
40,543,page11
44,427,page1
18,315,page1
29,573,page1
29,597,page73
29,622,page12
29,647,page16
29,654,page61
29,835,page1
75,321,page1
75,344,page12
30,291,page1
30,302,page38
27,168,page1
27,174,page79
89,417,page1
70,141,page1
70,145,page85
70,165,page50
70,191,page91
50,305,page1
56,179,page1
56,200,page72
56,208,page72
5,373,page1
49,154,page1
49,170,page63
49,180,page12
49,204,page15
49,233,page72
14,124,page1
14,147,page33
91,554,page1
40,731,page1
40,736,page63
40,737,page1
40,763,page78
40,777,page22
67,183,page1
26,503,page1
13,102,page1
92,612,page1
92,623,page69
72,320,page1
7,897,page1
93,857,page1
56,397,page1
57,544,page1
19,744,page1
67,341,page1
89,562,page1
89,569,page91
50,379,page1
50,394,page40
50,401,page12
50,405,page55
50,424,page76
50,440,page59
94,619,page1
59,424,page1
59,434,page28
59,450,page62
0,900,page1
0,924,page60
0,936,page37
72,431,page1
72,435,page37
72,577,page4
72,585,page6
29,1016,page1
23,169,page1
23,175,page71
76,125,page38
76,153,page5
76,172,page14
76,344,page1
76,358,page38
76,376,page5
76,381,page50
16,325,page1
23,350,page1
97,345,page1
97,364,page67
97,371,page20
61,297,page1
61,323,page55
33,219,page1
2,422,page1
37,478,page1
69,315,page1
69,330,page71
10,167,page96
48,505,page1
48,528,page71
48,529,page64
46,388,page27
46,405,page35
46,413,page74
46,436,page85
46,447,page60
34,149,page1
6,193,page76
6,204,page27
6,224,page36
6,234,page81
60,287,page1
60,314,page80
60,321,page86
60,344,page54
22,352,page1
13,247,page1
13,263,page19
13,271,page28
13,286,page88
13,299,page47
13,319,page5
13,337,page64
13,360,page73
13,372,page1
77,849,page1
29,1125,page1
24,338,page1
32,843,page1
91,683,page42
52,206,page17
54,82,page1
58,550,page1
18,554,page1
18,577,page76
78,403,page1
78,404,page44
6,355,page1
3,450,page1
3,464,page39
3,482,page95
46,534,page1
46,540,page87
46,566,page74
46,583,page80
46,584,page20
46,593,page36
13,553,page1
10,288,page1
5,600,page1
88,237,page1
95,353,page1
95,366,page42
95,376,page18
74,192,page1
74,220,page28
74,224,page35
50,495,page26
50,514,page6
68,140,page92
82,358,page1
82,380,page10
25,315,page1
25,331,page48
25,338,page63
25,365,page87
9,942,page1
22,536,page1
22,540,page63
76,550,page1
76,572,page70
97,548,page1
16,524,page1
84,652,page71
84,659,page75
40,959,page99
27,358,page1
27,358,page4
91,858,page1
12,522,page1
65,280,page1
82,460,page1
6,510,page1
6,536,page41
45,578,page1
72,710,page1
88,301,page1
88,302,page48
82,500,page1
71,92,page1
71,95,page87
78,531,page1
24,422,page1
24,432,page35
82,555,page1
99,127,page100
99,144,page92
99,148,page5
41,3,page1
41,16,page28
41,45,page75
41,45,page1
41,74,page12
69,515,page1
69,538,page17
69,547,page76
90,144,page1
48,684,page1
48,708,page77
34,225,page1
19,829,page1
68,164,page1
68,190,page75
68,212,page99
68,217,page79
5,666,page1
5,669,page78
95,381,page1
53,358,page1
26,531,page1
26,544,page48
26,566,page5
26,585,page12
26,611,page69
26,621,page93
26,645,page71
26,663,page18
26,664,page33
68,311,page1
10,304,page1
10,333,page24
10,358,page37
47,663,page1
47,678,page27
47,679,page23
47,681,page4
47,691,page37
47,715,page6
47,720,page55
47,743,page84
47,768,page95
42,332,page1
42,344,page28
10,401,page1
0,1022,page1
0,1022,page24
30,320,page1
30,332,page39
30,335,page73
30,341,page71
30,343,page59
47,948,page1
47,973,page81
47,1002,page70
24,532,page1
64,394,page1
49,364,page1
49,367,page50
49,390,page69
35,595,page1
35,598,page9
7,1076,page1
7,1079,page18
47,1045,page1
47,1056,page45
49,440,page1
62,322,page1
35,683,page1
35,693,page90
35,718,page22
41,87,page1
41,107,page83
46,776,page1
46,804,page9
37,673,page1
41,199,page1
39,843,page1
73,492,page1
73,497,page48
28,738,page19
17,782,page1
73,644,page1
43,601,page1
43,611,page34
69,593,page1
69,608,page40
69,616,page33
69,639,page64
27,363,page1
27,391,page68
43,742,page1
43,752,page87
43,780,page30
43,785,page95
43,809,page80
24,636,page1
24,642,page32
24,657,page98
62,458,page1
62,469,page56
41,253,page1
38,1015,page1
38,1038,page44
29,1176,page1
43,970,page1
43,980,page2
64,622,page1
64,631,page73
64,653,page62
0,1145,page1
2,620,page1
2,631,page76
16,714,page1
42,476,page1
42,481,page40
93,915,page1
93,935,page63
93,963,page50
65,388,page1
26,832,page1
26,846,page23
52,341,page1
52,351,page71
52,355,page39
52,370,page99
14,274,page1
14,412,page1
14,423,page53
93,1030,page1
93,1032,page61
28,791,page1
28,795,page69
28,820,page25
28,844,page86
28,853,page64
28,859,page42
28,885,page32
28,903,page7
28,931,page31
28,937,page90
28,949,page84
28,958,page65
17,952,page1
17,957,page19
17,976,page94
17,984,page4
17,991,page69
17,1005,page80
17,1008,page59
66,303,page1
66,310,page4
66,326,page67
10,510,page1
10,530,page6
86,52,page1
86,80,page7
74,359,page1
74,374,page83
74,403,page42
74,431,page50
74,435,page26
74,456,page97
56,425,page1
82,560,page1
34,364,page15
54,109,page1
54,137,page39
54,160,page86
20,44,page1
20,45,page55
58,744,page1
58,761,page18
87,241,page1
17,1120,page1
17,1140,page48
48,927,page1
48,933,page61
92,702,page1
86,128,page1
66,403,page1
66,426,page53
66,448,page57
60,506,page1
38,1214,page1
38,1227,page55
38,1229,page53
38,1250,page32
38,1255,page2
38,1283,page39
68,476,page1
68,497,page55
57,613,page34
57,622,page18
57,644,page45
86,265,page1
68,632,page1
68,638,page52
54,341,page1
95,384,page1
95,386,page72
46,937,page1
46,954,page9
92,780,page1
77,911,page60
77,922,page1
6,651,page1
70,369,page1
70,384,page70
59,477,page1
64,686,page1
64,702,page15
64,720,page41
64,743,page44
21,439,page28
7,1083,page1
9,1138,page1
9,1161,page75
96,348,page1
5,858,page1
5,865,page10
90,220,page1
90,230,page19
90,254,page17
90,279,page10
30,365,page1
83,500,page1
83,515,page65
49,578,page1
48,977,page1
0,1284,page1
0,1299,page86
0,1317,page61
0,1337,page64
9,1185,page1
9,1206,page55
9,1206,page79
9,1235,page33
9,1257,page70
47,1114,page1
49,694,page1
49,719,page49
26,988,page1
39,1000,page1
80,559,page1
37,716,page1
37,725,page33
37,728,page17
3,521,page1
3,547,page41
3,550,page2
3,562,page60
3,580,page40
3,602,page55
71,575,page1
71,599,page14
81,583,page1
81,607,page7
81,613,page58
24,662,page1
68,676,page1
50,542,page1
50,549,page37
50,560,page32
79,364,page1
79,388,page43
57,667,page1
57,673,page18
57,673,page76
57,699,page3
38,1465,page1
75,516,page1
75,521,page48
48,1143,page1
48,1150,page76
48,1162,page2
48,1172,page43
40,1135,page64
40,1163,page23
83,568,page1
83,578,page9
34,538,page1
55,85,page1
19,1042,page1
19,1051,page87
11,729,page1
11,750,page30
11,765,page70
11,773,page34
43,1046,page55
43,1054,page46
43,1070,page57
20,61,page1
66,596,page1
43,1154,page1
43,1178,page25
91,919,page1
91,937,page13
63,528,page1
13,769,page1
7,1282,page1
7,1285,page40
81,650,page1
81,652,page31
81,653,page4
1,415,page1
1,433,page41
54,522,page42
53,570,page79
14,423,page1
54,700,page1
54,708,page41
54,734,page8
54,751,page58
54,757,page66
54,763,page94
68,916,page1
80,630,page1
87,421,page1
6,771,page1
6,795,page40
6,798,page19
6,822,page85
6,834,page92
6,856,page83
6,874,page32
6,881,page79
58,799,page1
64,780,page71
0,1444,page1
0,1449,page44
87,463,page1
87,492,page72
87,515,page24
89,638,page1
89,654,page81
89,655,page68
52,434,page1
70,459,page1
71,624,page1
37,860,page1
12,650,page1
0,1601,page1
52,544,page1
52,559,page87
3,702,page1
3,719,page60
3,743,page89
3,755,page66
3,777,page8
79,420,page1
79,427,page4
62,531,page1
62,556,page48
62,581,page74
62,602,page16
62,625,page8
62,631,page41
68,1002,page1
68,1029,page31
68,1036,page92
37,1019,page1
39,1002,page1
39,1005,page98
88,494,page58
88,505,page72
58,967,page1
58,971,page86
94,812,page1
47,1234,page1
47,1262,page37
47,1282,page56
47,1311,page6
79,510,page1
32,1028,page1
32,1054,page21
74,544,page1
70,652,page1
67,350,page1
55,207,page1
49,739,page1
61,363,page1
3,952,page90
22,606,page1
22,630,page59
22,631,page48
74,551,page1
41,273,page1
41,285,page11
41,309,page97
69,786,page1
69,800,page88
69,804,page59
69,816,page13
69,821,page80
24,835,page1
24,842,page61
20,130,page1
20,135,page10
33,283,page1
33,285,page74
33,314,page88
33,340,page26
33,348,page18
33,354,page42
24,875,page1
9,1294,page1
16,797,page1
50,681,page1
26,1107,page1
91,1264,page1
29,1208,page1
47,1351,page1
14,425,page1
14,429,page43
14,447,page25
55,219,page1
56,552,page4
71,681,page1
71,683,page89
71,707,page99
71,720,page71
25,456,page1
23,529,page1
77,943,page1
77,944,page42
77,969,page1
77,985,page8
49,743,page1
49,759,page64
49,761,page55
49,767,page58
28,980,page1
49,893,page1
49,895,page96
94,887,page1
94,899,page76
94,925,page10
94,931,page52
94,956,page73
79,536,page1
79,540,page65
79,558,page38
79,573,page67
40,1291,page1
40,1308,page10
40,1325,page6
40,1336,page46
40,1348,page39
17,1312,page1
79,627,page1
0,1638,page1
45,717,page1
38,1589,page1
80,796,page29
80,812,page50
21,489,page1
21,499,page86
21,526,page9
20,297,page1
20,321,page79
20,334,page44
20,346,page98
20,351,page58
20,359,page96
20,359,page55
20,361,page96
20,363,page88
45,865,page1
89,679,page1
89,681,page63
89,704,page22
89,707,page70
21,713,page1
21,736,page23
76,722,page1
41,378,page1
74,760,page47
74,779,page2
63,591,page1
63,599,page100
45,942,page1
44,690,page1
44,716,page14
72,761,page1
66,652,page1
56,650,page1
88,510,page1
98,296,page1
98,322,page77
98,324,page62
64,900,page1
64,904,page5
64,931,page6
64,951,page43
64,966,page46
92,871,page1
33,378,page89
24,1091,page41
24,1106,page28
52,693,page1
33,505,page1
33,533,page33
49,934,page1
27,557,page1
12,787,page1
24,1243,page1
56,736,page1
52,747,page14
12,961,page1
48,1207,page1
48,1218,page18
48,1227,page56
16,864,page1
47,1443,page86
47,1457,page23
47,1459,page19
47,1486,page1
47,1506,page87
47,1517,page97
47,1545,page89
73,646,page1
73,650,page11
90,386,page1
98,452,page59
98,455,page20
98,472,page75
98,496,page5
98,509,page95
98,532,page17
75,606,page71
75,632,page76
81,820,page1
81,824,page58
81,831,page53
81,851,page64
31,459,page1
31,483,page28
8,354,page1
27,600,page1
40,1468,page1
40,1480,page82
40,1495,page76
40,1509,page65
40,1527,page61
40,1535,page26
97,664,page85
97,677,page48
30,656,page1
26,1234,page20
51,738,page1
4,384,page1
99,327,page94
25,579,page1
38,1639,page1
38,1665,page76
38,1690,page70
82,613,page24
82,639,page6
82,639,page2
82,654,page62
82,664,page85
82,669,page74
81,1037,page1
3,1144,page1
3,1167,page15
15,254,page1
15,283,page72
15,309,page33
15,316,page87
15,335,page100
49,1126,page1
49,1154,page54
49,1172,page58
6,1052,page1
24,1293,page1
83,580,page1
46,1119,page14
46,1138,page11
77,1106,page1
77,1109,page72
77,1117,page96
77,1140,page12
77,1146,page2
77,1149,page43
30,694,page1
30,717,page99
30,723,page65
30,744,page30
30,771,page87
30,778,page95
24,1434,page1
24,1443,page26
17,1463,page1
20,369,page1
20,381,page62
71,842,page1
36,632,page1
67,485,page1
67,503,page73
22,677,page1
34,626,page14
59,490,page1
71,983,page1
71,986,page75
37,1169,page1
37,1181,page1
37,1199,page22
37,1211,page100
31,532,page1
31,560,page46
84,697,page1
84,706,page100
26,1280,page1
88,551,page1
88,568,page43
88,590,page22
88,604,page90
86,404,page1
69,827,page1
60,613,page1
82,722,page1
0,1670,page1
0,1695,page21
15,358,page1
81,1124,page1
81,1133,page97
65,443,page4
50,842,page1
50,853,page80
50,862,page31
11,926,page1
62,727,page1
62,730,page76
44,913,page75
87,680,page1
87,690,page36
87,691,page85
87,704,page96
87,728,page73
89,744,page1
89,765,page68
77,1245,page1
40,1676,page1
40,1699,page1
44,1089,page1
44,1113,page97
44,1123,page12
82,755,page1
82,772,page70
10,581,page99
64,970,page1
64,992,page100
29,1252,page27
11,1083,page3
35,1008,page1
18,740,page1
18,749,page28
18,775,page39
69,913,page1
69,913,page60
69,923,page25
69,931,page5
69,959,page46
72,926,page49
97,743,page1
15,469,page1
22,731,page1
22,743,page30
22,757,page64
22,771,page76
11,1302,page42
11,1308,page58
11,1321,page94
11,1346,page8
11,1354,page71
11,1363,page11
29,1326,page1
29,1330,page100
29,1347,page62
29,1374,page86
47,1727,page1
47,1738,page74
47,1754,page93
47,1762,page67
47,1776,page49
64,1160,page1
68,1129,page1
41,601,page13
73,838,page1
73,841,page95
73,870,page67
39,1068,page1
39,1068,page54
39,1083,page44
70,915,page1
70,941,page87
16,1018,page1
59,565,page1
66,841,page1
68,1250,page1
68,1251,page39
68,1278,page20
76,791,page1
76,806,page39
76,810,page52
30,838,page4
30,840,page20
30,868,page4
65,760,page1
52,897,page1
52,909,page23
53,660,page1
0,1878,page1
52,1064,page1
52,1085,page86
76,945,page1
74,893,page1
74,910,page89
36,640,page1
36,646,page2
36,671,page46
69,1023,page1
70,1044,page1
70,1069,page38
70,1081,page74
70,1081,page37
70,1102,page77
71,1175,page1
71,1193,page19
71,1203,page34
71,1229,page10
71,1247,page90
71,1344,page1
17,1565,page1
58,1058,page1
58,1062,page92
58,1068,page26
58,1083,page46
58,1098,page54
35,1183,page1
60,649,page1
87,898,page79
87,906,page37
87,929,page14
21,795,page1
21,804,page33
23,621,page1
23,643,page21
23,667,page8
88,687,page1
91,1558,page1
91,1579,page30
91,1603,page39
91,1612,page78
25,616,page1
58,1253,page1
68,1473,page1
26,1417,page1
92,980,page1
57,937,page1
57,937,page13
5,1048,page1
5,1077,page11
5,1085,page49
5,1105,page60
5,1130,page78
5,1133,page37
5,1155,page72
5,1163,page93
81,1257,page1
81,1277,page58
99,377,page28
99,395,page12
24,1571,page1
91,1717,page1
91,1736,page84
91,1740,page86
91,1769,page90
91,1793,page72
91,1822,page52
91,1847,page58
91,1872,page62
35,1363,page1
35,1387,page82
35,1388,page44
89,782,page1
89,802,page90
64,1172,page1
38,1692,page1
30,1058,page1
30,1084,page30
70,1168,page1
51,818,page1
31,713,page1
31,714,page93
90,689,page1
64,1261,page41
64,1280,page30
56,818,page1
66,956,page1
27,730,page7
27,735,page24
65,824,page1
61,467,page1
61,494,page99
61,502,page2
97,878,page61
97,902,page100
18,831,page1
78,677,page1
24,1711,page1
24,1728,page98
24,1752,page51
70,1229,page1
65,959,page1
72,1042,page1
41,731,page1
10,717,page1
57,982,page1
27,875,page1
27,886,page62
27,906,page41
67,535,page1
67,593,page1
67,593,page80
92,1177,page1
92,1192,page63
73,1050,page1
73,1074,page42
73,1079,page72
20,448,page1
90,754,page1
90,775,page47
20,557,page1
20,584,page10
20,593,page4
12,1091,page1
59,683,page1
79,638,page1
79,649,page91
79,660,page59
79,685,page73
30,1253,page50
30,1259,page35
30,1281,page38
30,1290,page87
30,1297,page44
30,1309,page46
56,967,page1
56,990,page44
37,1322,page1
38,1863,page1
38,1891,page10
38,1895,page54
38,1915,page36
41,904,page69
41,919,page18
41,934,page90
42,645,page20
68,1582,page1
68,1601,page5
52,1149,page1
52,1157,page40
52,1159,page6
52,1159,page59
35,1425,page15
4,582,page1
1,449,page1
1,454,page25
21,812,page1
21,812,page70
0,1921,page1
92,1245,page1
92,1274,page83
3,1241,page1
96,508,page1
96,537,page63
99,462,page1
99,491,page82
99,510,page99
99,521,page69
3,1354,page1
3,1362,page91
78,840,page1
78,857,page88
78,868,page50
66,978,page1
42,788,page1
42,791,page78
42,817,page4
10,858,page1
10,861,page66
10,986,page1
10,1009,page32
13,873,page1
13,902,page30
13,916,page16
13,941,page52
13,957,page40
27,950,page1
27,959,page1
69,1148,page1
86,469,page1
26,1576,page1
71,1355,page1
17,1747,page1
17,1760,page100
9,1419,page60
9,1433,page83
52,1258,page1
52,1258,page11
41,1075,page98
41,1100,page67
41,1109,page93
41,1136,page15
41,1156,page23
30,1447,page1
30,1460,page33
30,1460,page40
49,1365,page59
80,896,page1
36,764,page1
80,946,page1
80,974,page34
1,608,page1
1,633,page28
1,658,page23
84,1060,page1
84,1088,page57
84,1089,page69
44,1208,page1
30,1513,page58
30,1530,page82
30,1556,page36
43,1378,page98
63,788,page1
63,789,page49
93,1291,page1
63,960,page1
63,964,page27
1,842,page1
1,858,page2
1,873,page98
1,898,page11
5,1205,page1
38,1920,page1
63,1089,page16
63,1095,page95
10,1165,page1
10,1167,page84
10,1179,page72
10,1198,page20
13,995,page1
13,1014,page43
13,1019,page39
62,840,page1
92,1446,page1
92,1455,page69
92,1480,page80
92,1486,page13
92,1496,page84
92,1505,page32
92,1512,page76
77,1463,page33
77,1473,page75
73,1128,page1
23,697,page1
23,715,page14
23,716,page19
23,725,page79
67,663,page1
51,1048,page1
68,1660,page1
68,1689,page93
91,2040,page1
91,2044,page15
96,549,page1
59,853,page1
59,873,page14
59,890,page51
47,1863,page1
47,1871,page86
94,1090,page1
55,337,page1
33,677,page1
33,682,page60
0,1944,page1
0,1952,page39
0,1967,page82
0,1986,page28
41,1287,page1
95,465,page1
24,1819,page1
64,1359,page1
81,1463,page1
81,1481,page84
81,1488,page2
31,878,page1
31,893,page19
31,901,page45
24,1857,page1
75,726,page1
75,743,page48
75,747,page30
75,757,page11
55,482,page1
56,1146,page1
56,1170,page70
32,1334,page1
65,971,page1
65,983,page70
17,1916,page1
17,1928,page1
17,1952,page28
17,1978,page17
23,785,page1
23,796,page66
68,1832,page1
68,1833,page29
25,797,page1
25,820,page100
25,820,page95
85,329,page1
85,329,page24
85,334,page78
85,346,page99
85,369,page98
85,376,page45
99,586,page1
75,942,page1
14,542,page1
14,558,page42
45,1037,page1
69,1225,page1
2,791,page1
6,1245,page1
52,1320,page1
76,1003,page1
76,1019,page1
60,738,page1
94,1115,page1
94,1117,page34
78,1104,page1
52,1517,page1
52,1544,page79
52,1554,page86
17,2050,page1
17,2073,page22
17,2087,page39
10,1246,page1
10,1274,page5
22,810,page1
22,830,page36
22,857,page53
22,875,page50
13,1073,page1
47,2027,page42
47,2035,page34
47,2037,page36
47,2061,page33
91,2217,page1
91,2245,page43
48,1278,page100
17,2198,page1
17,2213,page7
82,1146,page1
64,1383,page1
34,820,page1
34,823,page5
34,835,page67
24,2023,page1
24,2026,page45
99,723,page1
99,731,page76
89,925,page1
68,1863,page1
68,1892,page94
68,1916,page54
80,1069,page1
80,1082,page66
37,1364,page1
14,718,page31
14,733,page11
48,1412,page1
35,1452,page1
36,771,page1
68,1947,page1
68,1970,page72
53,815,page1
53,816,page82
40,1730,page1
7,1482,page1
75,1286,page1
75,1300,page33
66,1034,page1
66,1044,page71
54,905,page1
54,915,page68
54,921,page52
45,1089,page21
45,1118,page43
96,646,page1
96,667,page96
96,684,page23
96,712,page38
47,2069,page1
33,793,page18
43,1528,page1
73,1171,page1
25,963,page1
25,968,page89
55,815,page85
55,818,page20
19,1174,page1
99,919,page1
99,944,page64
99,960,page18
25,1047,page1
27,969,page1
27,989,page89
27,993,page90
9,1552,page74
9,1553,page14
9,1554,page41
45,1265,page1
41,1303,page1
33,828,page1
33,855,page33
33,859,page46
53,819,page1
44,1385,page1
44,1412,page75
44,1424,page97
44,1433,page94
66,1237,page1
66,1244,page20
66,1266,page38
66,1288,page35
82,1252,page1
82,1272,page10
1,1080,page1
28,1090,page50
43,1559,page1
34,960,page1
34,968,page96
34,970,page68
34,987,page46
34,993,page88
60,865,page1
78,1458,page1
78,1458,page37
78,1476,page19
78,1503,page26
22,941,page1
22,950,page73
79,704,page1
37,1399,page1
28,1146,page42
35,1642,page1
34,1029,page58
30,1647,page1
1,1094,page1
1,1097,page10
1,1123,page59
1,1136,page58
1,1155,page94
81,1558,page1
43,1559,page1
14,833,page1
14,853,page5
14,858,page64
56,1303,page1
56,1329,page99
56,1345,page44
17,2265,page1
17,2283,page8
22,980,page1
22,996,page50
9,1724,page50
24,2190,page1
8,454,page1
1,1319,page1
78,1564,page70
78,1588,page83
80,1143,page1
80,1148,page50
53,861,page1
53,861,page66
11,1481,page1
